Model,Sample,Split,Metric,Value
DTC,0.5,0.5,Recall,0.8784056608746351
DTC,0.5,0.5,F1-Score,0.8799873378262907
DTC,0.5,0.5,AUC,0.8784056608746351
RFC,0.5,0.5,Accuracy,0.9456432314488581
RFC,0.5,0.5,Precision,0.9183548947153031
RFC,0.5,0.5,Recall,0.8897228457661871
RFC,0.5,0.5,F1-Score,0.9031689926783192
RFC,0.5,0.5,AUC,0.8897228457661871
XGB,0.5,0.5,Accuracy,0.9517330495591365
XGB,0.5,0.5,Precision,0.9244965787254213
XGB,0.5,0.5,Recall,0.9064507268777713
XGB,0.5,0.5,F1-Score,0.9151354139769461
XGB,0.5,0.5,AUC,0.9064507268777713
LR,0.3,0.9,Accuracy,0.8555832929691867
LR,0.3,0.9,Precision,0.7878983113359821
LR,0.3,0.9,Recall,0.6424354474753126
LR,0.3,0.9,F1-Score,0.6754520679589404
LR,0.3,0.9,AUC,0.6424354474753127
KNN,0.3,0.9,Accuracy,0.8638175788963821
KNN,0.3,0.9,Precision,0.8221867352639061
KNN,0.3,0.9,Recall,0.6524817784227369
KNN,0.3,0.9,F1-Score,0.6901200751186766
KNN,0.3,0.9,AUC,0.6524817784227369
DTC,0.3,0.9,Accuracy,0.9330079362122284
DTC,0.3,0.9,Precision,0.884386466906349
DTC,0.3,0.9,Recall,0.8860369458305637
DTC,0.3,0.9,F1-Score,0.8852085149925724
DTC,0.3,0.9,AUC,0.8860369458305637
RFC,0.3,0.9,Accuracy,0.9487685830321547
RFC,0.3,0.9,Precision,0.9238207914861725
RFC,0.3,0.9,Recall,0.895941335353039
RFC,0.3,0.9,F1-Score,0.9090679016545958
RFC,0.3,0.9,AUC,0.895941335353039
XGB,0.3,0.9,Accuracy,0.9533142069376653
XGB,0.3,0.9,Precision,0.9271285107123148
XGB,0.3,0.9,Recall,0.909866618256588
XGB,0.3,0.9,F1-Score,0.9181898097385075
XGB,0.3,0.9,AUC,0.909866618256588
LR,0.3,0.8,Accuracy,0.8543696555321646
LR,0.3,0.8,Precision,0.7862948114807459
LR,0.3,0.8,Recall,0.6425594674423791
LR,0.3,0.8,F1-Score,0.6752581003125984
LR,0.3,0.8,AUC,0.6425594674423791
KNN,0.3,0.8,Accuracy,0.8608901391657507
KNN,0.3,0.8,Precision,0.8188471635419585
KNN,0.3,0.8,Recall,0.6462398080044065
KNN,0.3,0.8,F1-Score,0.6826374508206956
KNN,0.3,0.8,AUC,0.6462398080044065
DTC,0.3,0.8,Accuracy,0.9305847942321664
DTC,0.3,0.8,Precision,0.88162868777439
DTC,0.3,0.8,Recall,0.8811909288422539
DTC,0.3,0.8,F1-Score,0.8814095802641142
DTC,0.3,0.8,AUC,0.881190928842254
RFC,0.3,0.8,Accuracy,0.9465134042513553
RFC,0.3,0.8,Precision,0.9189867175823934
RFC,0.3,0.8,Recall,0.8941577761525918
RFC,0.3,0.8,F1-Score,0.9059150705197182
RFC,0.3,0.8,AUC,0.8941577761525918
XGB,0.3,0.8,Accuracy,0.952065130316523
XGB,0.3,0.8,Precision,0.9248793953069053
XGB,0.3,0.8,Recall,0.9088377481060865
XGB,0.3,0.8,F1-Score,0.9165896264278532
XGB,0.3,0.8,AUC,0.9088377481060864
LR,0.3,0.7,Accuracy,0.8549090231633857
LR,0.3,0.7,Precision,0.7873057684303537
LR,0.3,0.7,Recall,0.6453415449625525
LR,0.3,0.7,F1-Score,0.6783458333914009
LR,0.3,0.7,AUC,0.6453415449625525
